,kinase,kinase_name,TF,gene,p_value,r_squared,adjusted_r_squared,tf_coef,kinase_coef,interaction_coef,BH_critical_value,effect_on_tf,effect_on_gene,tfs_targeting_gene,kinases_targeting_tf,kinases_targeting_tfs_targeting_gene,tf_targets_num_genes,kinase_targets_num_genes,tf_coefficient_regularized,kinase_coefficient_regularized,interaction_coefficient_regularized,name,tnseq_ess,crispr_ess,Vulnerability Index
10,Rv3080c,PknK,Rv3223c,Rv3033,9.686332276099902e-26,0.645451190528493,0.6242597674336443,0.2906619164798443,0.2853195067557785,0.6968420176290527,6.720430107526883e-05,1.0,1.0,9,5,5,110,72,0.24250022224519807,0.17033304119490905,0.46059377776308785,Rv3033,NonEssential,NonEssential,0.635
11,Rv3080c,PknK,Rv0023,Rv0940c,1.0470334199812384e-24,0.2834971598689874,0.27084368807859416,-0.043479027943051196,-0.10454332262559823,-0.34543082332094827,7.331378299120235e-05,1.0,-1.0,2,3,3,481,72,-0.04832717053712623,-0.08770283576354163,-0.31205152688138205,Rv0940c,NonEssential,NonEssential,1.127
12,Rv1746,PknF,Rv0767c,Rv2390c,2.4287173183448586e-24,0.32470648683481307,0.3081993120685529,0.25202201995827866,0.005930710651669246,-0.7416676958318338,7.942326490713589e-05,-1.0,-1.0,1,5,5,33,42,0.1801720244279938,0.04840715304204506,-0.6024136946134745,Rv2390c,NonEssential,NonEssential,-0.136
13,Rv1746,PknF,Rv0023,Rv0792c,3.724997684196074e-24,0.4745413673290124,0.46407869543954583,-0.20202889241982425,-1.1872329250675364,-0.8962208848395041,8.55327468230694e-05,1.0,-1.0,2,3,4,481,42,-0.2548494182450458,-1.0452538604074593,-0.7881955895092232,Rv0792c,NonEssential,NonEssential,1.102
14,Rv1743,PknE,Rv3223c,Rv3465,1.3198344647488554e-23,0.6800452558850497,0.6722241399177953,0.12639163718901697,-0.015581032726408187,-0.7731599546724471,9.164222873900295e-05,-1.0,-1.0,1,5,5,110,33,0.07038421969454173,0.08220674463824933,-0.5480429817564298,rmlC,Essential,NonEssential,-0.988
15,Rv1746,PknF,Rv0023,Rv0572c,3.063986196406736e-23,0.8150297880884906,0.8092365376035664,-0.9522660907048768,0.178468414166885,-0.6866513099692593,9.775171065493646e-05,1.0,-1.0,2,3,6,481,42,-0.8237195600444077,0.20540852714199376,-0.5619920884653953,Rv0572c,NonEssential,NonEssential,0.526
16,Rv1746,PknF,Rv0023,Rv2011c,9.99474633863461e-23,0.43959146647758784,0.43095080626909255,0.210481635647047,-1.4829006802892966,-0.8648205510084643,0.00010386119257086999,-1.0,-1.0,1,3,3,481,42,0.15678531473925547,-1.3020932795333933,-0.758540431732612,Rv2011c,NonEssential,NonEssential,0.498
17,Rv3080c,PknK,Rv0023,Rv1854c,1.013467858141057e-22,0.43200078138120324,0.421969890103167,0.10979326959216977,0.41327949334923153,0.40524079434456106,0.00010997067448680353,1.0,1.0,2,3,3,481,72,0.09410482251513891,0.3678946511507158,0.3563271132949131,ndh,Essential,Essential,-1.691
18,Rv1743,PknE,Rv3223c,Rv1336,1.5844264599020427e-22,0.5797234986309033,0.569450073041881,0.07202698159412957,0.1897053801711042,0.724136168048928,0.00011608015640273706,1.0,1.0,1,5,5,110,33,0.05131328156428931,0.11436131185850312,0.470733556397118,cysM,NonEssential,NonEssential,0.258
19,Rv3080c,PknK,Rv3223c,Rv0307c,1.8437678161806671e-22,0.5615773819483822,0.5478460247834547,-0.03844361860519139,0.3949840881621106,-0.6937395923478208,0.00012218963831867058,1.0,-1.0,2,5,5,110,72,-0.07337695079522076,0.3963271135694733,-0.5672324736387627,Rv0307c,NonEssential,NonEssential,-0.138
20,Rv3080c,PknK,Rv0081,Rv1800,6.228112808710196e-22,0.6481710607656095,0.6279973830572155,-0.010756640237664454,0.12343894766092933,0.18449769183489928,0.0001282991202346041,-1.0,1.0,6,5,6,280,72,-0.020532947302664098,0.1524424059104305,0.14099751542290054,PPE28,NonEssential,NonEssential,1.355
21,Rv1743,PknE,Rv3223c,Rv3033,1.2225571229688585e-21,0.645451190528493,0.6242597674336443,0.2906619164798443,-0.02434864505357286,-0.9921196802199815,0.00013440860215053766,-1.0,-1.0,9,5,5,110,33,0.24250022224519807,0.04002986809172343,-0.6216707941395001,Rv3033,NonEssential,NonEssential,0.635
22,Rv3080c,PknK,Rv3223c,Rv1528c,1.2374586610276404e-21,0.6860868317652811,0.678413398763988,0.9637054769702945,0.6388705538033123,-1.0719997777260124,0.00014051808406647116,-1.0,-1.0,1,5,5,110,72,0.842095067900595,0.6907462171543325,-0.8426712647116035,papA4,NonEssential,NonEssential,1.108
23,Rv1746,PknF,Rv0023,Rv2784c,1.3910984526950657e-21,0.31492157764488204,0.3043586944808163,-0.12835890378557202,-0.12275018663456488,-0.4562340208499115,0.0001466275659824047,1.0,-1.0,1,3,3,481,42,-0.12834020185635542,-0.09573016368194998,-0.3989632022836697,lppU,NonEssential,NonEssential,1.327
24,Rv3080c,PknK,Rv3223c,Rv3437,1.6176891160078944e-21,0.6217656446853941,0.6116569314030438,-0.005142948103043412,0.1680819591838716,-0.49813410829527804,0.00015273704789833822,1.0,-1.0,2,5,5,110,72,-0.000958852351670149,0.22236622209361956,-0.38129079058077947,Rv3437,NonEssential,NonEssential,1.294
25,Rv0014c,PknB,Rv0081,Rv0112,4.078092480049235e-21,0.577745633694006,0.5645206647269279,-0.067533550463512,0.6899165749843941,-0.3968226798865302,0.00015884652981427178,1.0,-1.0,3,5,5,280,9,-0.037585334299983036,0.4216037656096962,-0.28105016868089505,gca,NonEssential,NonEssential,0.902
26,Rv3080c,PknK,Rv3223c,Rv0132c,9.342176793246196e-21,0.7864738148708448,0.7792924409315234,0.04309365920548414,0.7415650098548136,-0.5095835372995193,0.0001649560117302053,-1.0,-1.0,3,5,5,110,72,0.0,0.7262598039292282,-0.441135292983626,fgd2,NonEssential,NonEssential,1.526
27,Rv1746,PknF,Rv0023,Rv1874,1.305437535020576e-20,0.5192201330753208,0.5118072276381561,-0.18834170079992785,-0.56039759059954,-0.38401019486953886,0.0001710654936461388,1.0,-1.0,1,3,3,481,42,-0.18281655720378182,-0.5088396155409671,-0.33474146844175906,Rv1874,NonEssential,NonEssential,1.134
28,Rv1746,PknF,Rv0023,Rv2913c,2.6583223650741838e-20,0.5404303606897747,0.5291964361733025,-0.3934836735529046,-0.9361276392029415,-0.8406992416344394,0.00017717497556207234,1.0,-1.0,3,3,3,481,42,-0.45798255967134927,-0.8179850160737128,-0.6864305799126292,Rv2913c,NonEssential,NonEssential,0.877
29,Rv2914c,PknI,Rv3676,Rv0320,3.176570997698345e-20,0.5313283939117113,0.5133837603452678,0.17836316342691977,0.6966883116235629,0.9487750775841333,0.0001832844574780059,1.0,1.0,4,3,4,58,8,0.15592065738117056,0.5295824646951203,0.6465343799806417,Rv0320,NonEssential,NonEssential,1.011
30,Rv0931c,PknD,Rv3417c,Rv2699c,3.2674254593981243e-20,0.8279241707825323,0.8213356818260077,0.5100149259356749,-1.1834808635928085,0.39558106715084734,0.00018939393939393942,1.0,1.0,1,8,8,18,23,0.5250403774961903,-0.9459615477993957,0.2760595904315398,Rv2699c,Essential,NonEssential,-6.761
31,Rv3080c,PknK,Rv0023,Rv1892,5.512024456202531e-20,0.3926328941259113,0.3832682030661786,-0.331780141137502,-0.032631907926788765,-0.39065104934617434,0.00019550342130987292,1.0,-1.0,1,3,3,481,72,-0.3001516676961484,-0.017668712279949896,-0.35870811391793866,Rv1892,NonEssential,NonEssential,0.521
32,Rv3080c,PknK,Rv3223c,Rv2707,1.0099335995859137e-19,0.559163726510288,0.5433134335308827,0.8128657571188246,0.06770556043476499,-0.6367671668419987,0.00020161290322580645,-1.0,-1.0,3,5,5,110,72,0.6157093279508559,0.08974840045176219,-0.4709348564985041,Rv2707,NonEssential,NonEssential,0.623
33,Rv2088,PknJ,Rv3133c,Rv1050,1.995842150663287e-19,0.3990018259871543,0.38973533431735263,-0.07420130436039599,1.0121683085611355,0.5771848800799626,0.00020772238514173998,-1.0,1.0,1,3,3,81,6,-0.05604344452907885,0.9259476874252642,0.4233883503016298,Rv1050,NonEssential,NonEssential,0.665
34,Rv3080c,PknK,Rv3223c,Rv1336,2.1393621080502884e-19,0.5797234986309033,0.569450073041881,0.07202698159412957,0.15200946130256657,-0.4326199885194993,0.0002138318670576735,-1.0,-1.0,1,5,5,110,72,0.05131328156428931,0.17567837701481864,-0.29746242941200585,cysM,NonEssential,NonEssential,0.258
35,Rv0931c,PknD,Rv3223c,Rv1336,2.15733874184518e-19,0.5797234986309033,0.569450073041881,0.07202698159412957,0.5500986371065806,0.43738264407193816,0.00021994134897360707,1.0,1.0,1,5,5,110,23,0.05131328156428931,0.4963373583076887,0.37205596084784587,cysM,NonEssential,NonEssential,0.258
36,Rv1746,PknF,Rv0023,Rv0264c,2.666068482729635e-19,0.5894973103277696,0.5747376630586558,-0.157240363655798,0.5524773925161094,0.5420642933546239,0.0002260508308895406,-1.0,1.0,5,3,3,481,42,-0.06257866851203996,0.4395004719955762,0.4888770805660979,Rv0264c,NonEssential,NonEssential,0.401
37,Rv1746,PknF,Rv0023,Rv1473,2.903753009621871e-19,0.5268366811360246,0.5184805960346739,-0.1935571109211801,0.383859264208618,-0.34354075078571633,0.00023216031280547412,1.0,-1.0,2,3,3,481,42,-0.16213057493008867,0.33256026400605787,-0.3073485780616523,Rv1473,NonEssential,NonEssential,-0.04
38,Rv3080c,PknK,Rv3223c,Rv0311,3.401154943125734e-19,0.7216553186390224,0.7116474199833469,0.2778522275324635,0.41915032697139787,-0.5637808269280119,0.00023826979472140765,-1.0,-1.0,3,5,5,110,72,0.22541225878244472,0.4809516884320388,-0.443598868424954,Rv0311,NonEssential,NonEssential,1.27
39,Rv3080c,PknK,Rv3223c,Rv3206c,1.1826900753719898e-18,0.6718392665116437,0.6638175596930395,0.7436105788391582,0.06419051537187148,-0.4203719374791484,0.00024437927663734115,-1.0,-1.0,1,5,5,110,72,0.6529092757546228,0.08475937185354716,-0.3352535914636972,moeB1,Essential,Essential,-1.676
40,Rv3080c,PknK,Rv3223c,Rv1670,1.3973013108347205e-18,0.6939458968172645,0.6800658921377754,-0.011819867187467362,0.48598448642544373,-0.5169932434594171,0.0002504887585532747,1.0,-1.0,5,5,5,110,72,-0.05426521603569178,0.5087045783485579,-0.4034573505683074,Rv1670,NonEssential,NonEssential,-0.697
41,Rv0931c,PknD,Rv3223c,Rv0140,1.4137952179698629e-18,0.6871547292221042,0.6766330272901122,1.076579037104645,0.006813364935261087,0.6469303397769082,0.0002565982404692082,1.0,1.0,2,5,5,110,23,0.9073252722221248,-0.09847578149782345,0.4719162230103974,Rv0140,NonEssential,NonEssential,0.158
42,Rv3080c,PknK,Rv3223c,Rv0140,1.5603195107267228e-18,0.6871547292221042,0.6766330272901122,1.076579037104645,0.2704876359655878,-0.6563908419449087,0.0002627077223851417,-1.0,-1.0,2,5,5,110,72,0.9073252722221248,0.2594902948007968,-0.5123058592980221,Rv0140,NonEssential,NonEssential,0.158
43,Rv0014c,PknB,Rv3417c,Rv2699c,1.9023385974757456e-18,0.8279241707825323,0.8213356818260077,0.5100149259356749,-0.019452860676438328,-0.5068706841014042,0.0002688172043010753,-1.0,-1.0,1,8,8,18,9,0.5250403774961903,-0.19860715638063775,-0.40695325489527523,Rv2699c,Essential,NonEssential,-6.761
